#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            LocalECP            NonLocalECP         IonIon              BlockWeight         BlockCPU            AcceptRatio         
        74   -1.7268768642e+01    2.9845737809e+02   -3.0985696694e+01    1.3716928052e+01    1.7119393539e+01   -5.7026925650e+01    1.9410721694e+00    6.9807632464e+00    2.7143000000e+04    2.8255669276e-01    9.9726357153e-01
        75   -1.7266202497e+01    2.9838774183e+02   -3.0742126394e+01    1.3475923897e+01    1.7118282813e+01   -5.6740273257e+01    1.8991008033e+00    6.9807632464e+00    2.7138000000e+04    2.8197177251e-01    9.9735213514e-01
        76   -1.7269781312e+01    2.9850889797e+02   -3.0876036558e+01    1.3606255246e+01    1.7157664504e+01   -5.6950638950e+01    1.9361746415e+00    6.9807632464e+00    2.7073000000e+04    2.8028690815e-01    9.9728540425e-01
        77   -1.7264798985e+01    2.9833350553e+02   -3.0835921669e+01    1.3571122684e+01    1.7155822405e+01   -5.6862032757e+01    1.8895254362e+00    6.9807632464e+00    2.7041000000e+04    2.8142948945e-01    9.9755462566e-01
        78   -1.7262490321e+01    2.9822431781e+02   -3.1012859755e+01    1.3750369434e+01    1.7144486836e+01   -5.7115289951e+01    1.9771801141e+00    6.9807632464e+00    2.7067000000e+04    2.8045447667e-01    9.9744635359e-01
        79   -1.7259602042e+01    2.9813640196e+02   -3.1112359197e+01    1.3852757155e+01    1.7139436478e+01   -5.7205210732e+01    1.9726518107e+00    6.9807632464e+00    2.7028000000e+04    2.8547751904e-01    9.9721646435e-01
        80   -1.7251855026e+01    2.9784402169e+02   -3.0898578056e+01    1.3646723030e+01    1.7119585272e+01   -5.6915309900e+01    1.9163833250e+00    6.9807632464e+00    2.6924000000e+04    2.8078134855e-01    9.9735020539e-01
        81   -1.7257686466e+01    2.9804024205e+02   -3.0911734154e+01    1.3654047688e+01    1.7167242184e+01   -5.6989842348e+01    1.9301027632e+00    6.9807632464e+00    2.6847000000e+04    2.7987583478e-01    9.9754696382e-01
        82   -1.7254115077e+01    2.9792829758e+02   -3.0824417320e+01    1.3570302243e+01    1.7143902717e+01   -5.6806175492e+01    1.8570922081e+00    6.9807632464e+00    2.6760000000e+04    2.7848637104e-01    9.9753410125e-01
        83   -1.7263012528e+01    2.9822938581e+02   -3.0923092973e+01    1.3660080445e+01    1.7103009596e+01   -5.6935266877e+01    1.9284010616e+00    6.9807632464e+00    2.6722000000e+04    2.7774099509e-01    9.9730105117e-01
        84   -1.7270031984e+01    2.9850476082e+02   -3.0958426133e+01    1.3688394149e+01    1.7100297822e+01   -5.6918424871e+01    1.8789376698e+00    6.9807632464e+00    2.6808000000e+04    2.7986212571e-01    9.9725730055e-01
        85   -1.7272253852e+01    2.9859725612e+02   -3.1016662977e+01    1.3744409125e+01    1.7135505072e+01   -5.7053916128e+01    1.9209848326e+00    6.9807632464e+00    2.6776000000e+04    2.7873472373e-01    9.9729838359e-01
        86   -1.7273021426e+01    2.9860200632e+02   -3.1065582730e+01    1.3792561304e+01    1.7164007489e+01   -5.7106353944e+01    1.8960004787e+00    6.9807632464e+00    2.6685000000e+04    2.7733751138e-01    9.9719492428e-01
        87   -1.7273102875e+01    2.9861466306e+02   -3.1045655431e+01    1.3772552556e+01    1.7175004060e+01   -5.7030452117e+01    1.8290293799e+00    6.9807632464e+00    2.6706000000e+04    2.7592273553e-01    9.9738259751e-01
        88   -1.7257287993e+01    2.9812294729e+02   -3.0951087709e+01    1.3693799717e+01    1.7157027155e+01   -5.6882659454e+01    1.7937813429e+00    6.9807632464e+00    2.6763000000e+04    2.7702867985e-01    9.9744963465e-01
        89   -1.7260402536e+01    2.9814686549e+02   -3.0923189437e+01    1.3662786901e+01    1.7141599777e+01   -5.6848784305e+01    1.8032318444e+00    6.9807632464e+00    2.6850000000e+04    2.8197395802e-01    9.9737335352e-01
        90   -1.7261554670e+01    2.9821143794e+02   -3.1003541099e+01    1.3741986429e+01    1.7139107922e+01   -5.6957054623e+01    1.8336423567e+00    6.9807632464e+00    2.6924000000e+04    2.7914623419e-01    9.9723616464e-01
        91   -1.7270586240e+01    2.9851727430e+02   -3.0880579065e+01    1.3609992825e+01    1.7091835709e+01   -5.6804564981e+01    1.8513869604e+00    6.9807632464e+00    2.7007000000e+04    2.7985111872e-01    9.9715355935e-01
        92   -1.7266490996e+01    2.9837989509e+02   -3.0922860785e+01    1.3656369789e+01    1.7061795880e+01   -5.6874804976e+01    1.9093850648e+00    6.9807632464e+00    2.7007000000e+04    2.8032314777e-01    9.9714894064e-01
        93   -1.7258643435e+01    2.9811049977e+02   -3.0945401076e+01    1.3686757641e+01    1.7080043407e+01   -5.6840174271e+01    1.8339665418e+00    6.9807632464e+00    2.7013000000e+04    2.7938401699e-01    9.9740817039e-01
        94   -1.7256169475e+01    2.9800659387e+02   -3.0873921190e+01    1.3617751714e+01    1.7107711262e+01   -5.6722470870e+01    1.7600751721e+00    6.9807632464e+00    2.7006000000e+04    2.8019297123e-01    9.9737599275e-01
        95   -1.7272613459e+01    2.9858528144e+02   -3.0846618658e+01    1.3574005199e+01    1.7124333999e+01   -5.6812964320e+01    1.8612484172e+00    6.9807632464e+00    2.7044000000e+04    2.7981960773e-01    9.9738321271e-01
        96   -1.7277146465e+01    2.9872878013e+02   -3.0931803902e+01    1.3654657437e+01    1.7081394815e+01   -5.6907986389e+01    1.9140244251e+00    6.9807632464e+00    2.7054000000e+04    2.7968521913e-01    9.9739454875e-01
        97   -1.7272920384e+01    2.9859530081e+02   -3.1201149066e+01    1.3928228682e+01    1.7080769540e+01   -5.7100297987e+01    1.8376161345e+00    6.9807632464e+00    2.7047000000e+04    2.7822744846e-01    9.9729213950e-01
        98   -1.7266353476e+01    2.9833159324e+02   -3.1011119034e+01    1.3744765559e+01    1.7061317337e+01   -5.6868545097e+01    1.8153454795e+00    6.9807632464e+00    2.6963000000e+04    2.7871064345e-01    9.9754395441e-01
        99   -1.7259877040e+01    2.9814065940e+02   -3.0827681367e+01    1.3567804327e+01    1.7083937514e+01   -5.6789140778e+01    1.8967586508e+00    6.9807632464e+00    2.6962000000e+04    2.8170442581e-01    9.9735213387e-01
       100   -1.7259867721e+01    2.9823086644e+02   -3.0968386980e+01    1.3708519259e+01    1.7050146925e+01   -5.6911582657e+01    1.9122855050e+00    6.9807632464e+00    2.6961000000e+04    2.7907077471e-01    9.9739904056e-01
       101   -1.7258476708e+01    2.9807318751e+02   -3.1201874092e+01    1.3943397384e+01    1.7075379575e+01   -5.7046228812e+01    1.7882118975e+00    6.9807632464e+00    2.6950000000e+04    2.7861436208e-01    9.9743973842e-01
       102   -1.7261471759e+01    2.9818828779e+02   -3.1057658411e+01    1.3796186652e+01    1.7068068353e+01   -5.6952421704e+01    1.8459316941e+00    6.9807632464e+00    2.6912000000e+04    2.8036801020e-01    9.9747853991e-01
       103   -1.7256992410e+01    2.9809470976e+02   -3.1065364184e+01    1.3808371774e+01    1.7092933634e+01   -5.6913845315e+01    1.7747842503e+00    6.9807632464e+00    2.6867000000e+04    2.7778490384e-01    9.9747412381e-01
       104   -1.7260123419e+01    2.9814732592e+02   -3.1007749038e+01    1.3747625619e+01    1.7056603551e+01   -5.6846546453e+01    1.8014306179e+00    6.9807632464e+00    2.6850000000e+04    2.7640342712e-01    9.9731461762e-01
       105   -1.7262971884e+01    2.9825922380e+02   -3.0967322191e+01    1.3704350307e+01    1.7020061596e+01   -5.6833044457e+01    1.8648974242e+00    6.9807632464e+00    2.6801000000e+04    2.7650678158e-01    9.9721545064e-01
       106   -1.7251684766e+01    2.9785725041e+02   -3.0879727931e+01    1.3628043165e+01    1.6991362853e+01   -5.6735107354e+01    1.8832533241e+00    6.9807632464e+00    2.6755000000e+04    2.7452997367e-01    9.9742652725e-01
       107   -1.7256152881e+01    2.9799892333e+02   -3.0728962961e+01    1.3472810080e+01    1.6939547665e+01   -5.6468216818e+01    1.8189429454e+00    6.9807632464e+00    2.6723000000e+04    2.7514048417e-01    9.9753944272e-01
       108   -1.7267456505e+01    2.9840050559e+02   -3.0845065147e+01    1.3577608641e+01    1.6967108703e+01   -5.6561371436e+01    1.7684343400e+00    6.9807632464e+00    2.6834000000e+04    2.7774659793e-01    9.9747849711e-01
       109   -1.7255784862e+01    2.9798929383e+02   -3.1074248632e+01    1.3818463770e+01    1.6958566079e+01   -5.6814242886e+01    1.8006649284e+00    6.9807632464e+00    2.6843000000e+04    2.7892736594e-01    9.9749504088e-01
       110   -1.7257705467e+01    2.9808108962e+02   -3.0915247394e+01    1.3657541927e+01    1.7008331169e+01   -5.6792126332e+01    1.8877845221e+00    6.9807632464e+00    2.6835000000e+04    2.7774198850e-01    9.9746184696e-01
