# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
       120   -1.7253788547e+01    2.3240524956e-01    2.6849207097e+03    2.6850000000e+03    1.6666666667e-01   -1.7255906071e+01    9.9432979737e-01    9.9888268156e-01
       121   -1.7249962043e+01    2.2152932842e-01    2.6839555717e+03    2.6840000000e+03    5.0000000000e-01   -1.7255046872e+01    9.9636484213e-01    9.9962742176e-01
       122   -1.7248276334e+01    2.0408499921e-01    2.6839172694e+03    2.6840000000e+03    1.6666666667e-01   -1.7254921984e+01    9.9584557545e-01    9.9962742176e-01
       123   -1.7243737596e+01    2.1030289968e-01    2.6858768168e+03    2.6860000000e+03    3.3333333333e-01   -1.7255386466e+01    9.9498762847e-01    9.9962769918e-01
       124   -1.7247456049e+01    2.2601669358e-01    2.6858691640e+03    2.6860000000e+03    1.6666666667e-01   -1.7255059197e+01    9.9464880936e-01    9.9962769918e-01
       125   -1.7242707514e+01    2.2971108833e-01    2.6848737997e+03    2.6850000000e+03    1.6666666667e-01   -1.7254204189e+01    9.9590345440e-01    1.0000000000e+00
       126   -1.7247251210e+01    1.9964964774e-01    2.6858684715e+03    2.6860000000e+03    0.0000000000e+00   -1.7254274066e+01    9.9555830871e-01    1.0000000000e+00
       127   -1.7240806688e+01    2.1494371456e-01    2.6888528213e+03    2.6890000000e+03    3.3333333333e-01   -1.7254934387e+01    9.9552057251e-01    9.9925622908e-01
       128   -1.7247024339e+01    2.5467459411e-01    2.6868643369e+03    2.6870000000e+03    1.6666666667e-01   -1.7253929224e+01    9.9583808257e-01    9.9925567547e-01
       129   -1.7249245084e+01    2.1417232374e-01    2.6889346963e+03    2.6890000000e+03    3.3333333333e-01   -1.7254207940e+01    9.9501329342e-01    9.9925622908e-01
       130   -1.7250479536e+01    2.0518334216e-01    2.6899389643e+03    2.6900000000e+03    3.3333333333e-01   -1.7254352701e+01    9.9525667296e-01    9.9962825279e-01
       131   -1.7253287582e+01    2.4524091107e-01    2.6919550687e+03    2.6920000000e+03    5.0000000000e-01   -1.7254955150e+01    9.9544461379e-01    9.9888558692e-01
       132   -1.7257733626e+01    2.2500974090e-01    2.6900170466e+03    2.6900000000e+03    3.3333333333e-01   -1.7254118537e+01    9.9522172527e-01    9.9925650558e-01
       133   -1.7264937477e+01    2.3990772542e-01    2.6900950697e+03    2.6900000000e+03    1.6666666667e-01   -1.7254115895e+01    9.9705578322e-01    9.9962825279e-01
       134   -1.7260794248e+01    2.5433455001e-01    2.6911098661e+03    2.6910000000e+03    3.3333333333e-01   -1.7254615853e+01    9.9579053153e-01    9.9888517280e-01
       135   -1.7258585346e+01    2.3410627665e-01    2.6910613578e+03    2.6910000000e+03    3.3333333333e-01   -1.7254942627e+01    9.9580931916e-01    9.9925678187e-01
       136   -1.7249073031e+01    2.2898447375e-01    2.6939679326e+03    2.6940000000e+03    5.0000000000e-01   -1.7256250362e+01    9.9580361613e-01    9.9925760950e-01
       137   -1.7251098227e+01    2.3033864216e-01    2.6959100641e+03    2.6960000000e+03    5.0000000000e-01   -1.7257115846e+01    9.9441830018e-01    9.9962908012e-01
       138   -1.7257893364e+01    2.3677857149e-01    2.6979544392e+03    2.6980000000e+03    3.3333333333e-01   -1.7257723962e+01    9.9547303635e-01    1.0000000000e+00
       139   -1.7253239116e+01    2.2868497488e-01    2.6989668499e+03    2.6990000000e+03    1.6666666667e-01   -1.7258019862e+01    9.9542818612e-01    9.9925898481e-01
       140   -1.7250882950e+01    2.3394113527e-01    2.6969257394e+03    2.6970000000e+03    3.3333333333e-01   -1.7257377507e+01    9.9539690227e-01    9.9925843530e-01
       141   -1.7259132742e+01    2.1766903537e-01    2.6969689085e+03    2.6970000000e+03    1.6666666667e-01   -1.7257358098e+01    9.9476064502e-01    1.0000000000e+00
       142   -1.7252231482e+01    2.1450133268e-01    2.6979686507e+03    2.6980000000e+03    1.6666666667e-01   -1.7257654228e+01    9.9600337244e-01    9.9888806523e-01
       143   -1.7246445517e+01    2.1440172809e-01    2.6958966153e+03    2.6960000000e+03    3.3333333333e-01   -1.7257033404e+01    9.9488297699e-01    9.9814540059e-01
       144   -1.7243034060e+01    2.3015217432e-01    2.6908592295e+03    2.6910000000e+03    1.6666666667e-01   -1.7255135488e+01    9.9605360204e-01    9.9962839093e-01
       145   -1.7244775786e+01    1.9835072284e-01    2.6918440082e+03    2.6920000000e+03    3.3333333333e-01   -1.7255338705e+01    9.9534346044e-01    9.9925705795e-01
