#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             LocalECP            NonLocalECP         ElecElec            IonIon              BlockWeight         BlockCPU            AcceptRatio         
        48   -1.7261556576e+01    2.9820333320e+02   -3.1129092153e+01    1.3867535576e+01   -5.7214565936e+01    2.0181396039e+00    1.7086570933e+01    6.9807632464e+00    2.7051000000e+04    2.8025936333e-01    9.9721000924e-01
        49   -1.7257003962e+01    2.9804901655e+02   -3.1148243212e+01    1.3891239250e+01   -5.7048991098e+01    1.8470468301e+00    1.7072937810e+01    6.9807632464e+00    2.6960000000e+04    2.8199555117e-01    9.9752033238e-01
        50   -1.7253570216e+01    2.9793344187e+02   -3.1122651373e+01    1.3869081157e+01   -5.6964522348e+01    1.7903426833e+00    1.7070765045e+01    6.9807632464e+00    2.6959000000e+04    2.8073888033e-01    9.9735636803e-01
        51   -1.7249145983e+01    2.9778467743e+02   -3.1149989618e+01    1.3900843635e+01   -5.6989045162e+01    1.7730113799e+00    1.7085280917e+01    6.9807632464e+00    2.6913000000e+04    2.7965112617e-01    9.9738621316e-01
        52   -1.7249881328e+01    2.9780767432e+02   -3.1131561796e+01    1.3881680468e+01   -5.7027067358e+01    1.8589209929e+00    1.7055821322e+01    6.9807632464e+00    2.6829000000e+04    2.7865302983e-01    9.9733976451e-01
        53   -1.7248392617e+01    2.9775093364e+02   -3.0900074940e+01    1.3651682323e+01   -5.6916409154e+01    1.9631991074e+00    1.7072371860e+01    6.9807632464e+00    2.6840000000e+04    2.8095863317e-01    9.9715961906e-01
        54   -1.7253494312e+01    2.9790539581e+02   -3.0914593501e+01    1.3661099188e+01   -5.6827708750e+01    1.8780753005e+00    1.7054276703e+01    6.9807632464e+00    2.6720000000e+04    2.7878942933e-01    9.9740514219e-01
        55   -1.7252318835e+01    2.9785503122e+02   -3.0821779873e+01    1.3569461038e+01   -5.6806785347e+01    1.9381905549e+00    1.7066051672e+01    6.9807632464e+00    2.6688000000e+04    2.7945314950e-01    9.9749858814e-01
        56   -1.7252677822e+01    2.9787737085e+02   -3.0912910992e+01    1.3660233170e+01   -5.6798191935e+01    1.8645497466e+00    1.7039967950e+01    6.9807632464e+00    2.6632000000e+04    2.7744596950e-01    9.9735328930e-01
        57   -1.7254541589e+01    2.9793407995e+02   -3.0888161692e+01    1.3633620103e+01   -5.6842973738e+01    1.9392447941e+00    1.7034804005e+01    6.9807632464e+00    2.6597000000e+04    2.8070942033e-01    9.9763167939e-01
        58   -1.7257751643e+01    2.9806590129e+02   -3.0867772312e+01    1.3610020670e+01   -5.6778152393e+01    1.9048975870e+00    1.7024719247e+01    6.9807632464e+00    2.6599000000e+04    2.7802616333e-01    9.9742901691e-01
        59   -1.7263873456e+01    2.9828195678e+02   -3.0748151137e+01    1.3484277681e+01   -5.6593923685e+01    1.8516163933e+00    1.7013392908e+01    6.9807632464e+00    2.6578000000e+04    2.7932377317e-01    9.9737566410e-01
        60   -1.7262761979e+01    2.9822234071e+02   -3.0884031846e+01    1.3621269867e+01   -5.6849406988e+01    1.9226210821e+00    1.7061990813e+01    6.9807632464e+00    2.6659000000e+04    2.7929960400e-01    9.9736408534e-01
        61   -1.7266167839e+01    2.9833621185e+02   -3.0970811531e+01    1.3704643692e+01   -5.6965629672e+01    1.9285862253e+00    1.7085468669e+01    6.9807632464e+00    2.6700000000e+04    2.8146348083e-01    9.9735903358e-01
